LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location33250 et al             8                   8.00                1.00                1.00                
location3327 et al              12                  12.00               1.00                1.00                
location33299 et al             4                   4.00                1.00                1.00                
location33348 et al             1                   1.00                1.00                1.00                
location33397 et al             3                   3.00                1.00                1.00                
location33445 et al             3                   3.00                1.00                1.00                
location33494 et al             7                   7.00                1.00                1.00                
location33543 et al             3                   3.00                1.00                1.00                
location33592 et al             4                   4.00                1.00                1.00                
location33639 et al             13                  13.00               1.00                1.00                
location33686 et al             4                   4.00                1.00                1.00                
location33734 et al             7                   7.00                1.00                1.00                
location3375 et al              14                  14.00               1.00                1.00                
location33782 et al             1                   1.00                1.00                1.00                
location33831 et al             15                  15.00               1.00                1.00                
location33880 et al             2                   2.00                1.00                1.00                
location33927 et al             8                   8.00                1.00                1.00                
location33976 et al             11                  11.00               1.00                1.00                
location34024 et al             1                   1.00                1.00                1.00                
location34072 et al             10                  10.00               1.00                1.00                
location34120 et al             9                   9.00                1.00                1.00                
location34169 et al             22                  22.00               1.00                1.00                
location34216 et al             1                   1.00                1.00                1.00                
location3423 et al              17                  17.00               1.00                1.00                
location34263 et al             3                   3.00                1.00                1.00                
location34310 et al             5                   5.00                1.00                1.00                
location34357 et al             0                   0                   n/a                 n/a                 
location34404 et al             10                  10.00               1.00                1.00                
location34451 et al             1                   1.00                1.00                1.00                
location34478 et al             0                   0                   n/a                 n/a                 
location345 et al               13                  13.00               1.00                1.00                
location34526 et al             3                   3.00                1.00                1.00                
location34553 et al             4                   4.00                1.00                1.00                
location34580 et al             0                   0                   n/a                 n/a                 
location34588 et al             2                   2.00                1.00                1.00                
location34637 et al             5                   5.00                1.00                1.00                
location34664 et al             8                   8.00                1.00                1.00                
location34713 et al             14                  14.00               1.00                1.00                
location3472 et al              9                   9.00                1.00                1.00                
location34762 et al             15                  15.00               1.00                1.00                
location34811 et al             5                   5.00                1.00                1.00                
location34860 et al             0                   0                   n/a                 n/a                 
location34866 et al             11                  11.00               1.00                1.00                
location34915 et al             11                  11.00               1.00                1.00                
location34964 et al             7                   7.00                1.00                1.00                
location34971 et al             5                   5.00                1.00                1.00                
location35020 et al             0                   0                   n/a                 n/a                 
location35069 et al             7                   7.00                1.00                1.00                
location35087 et al             13                  13.00               1.00                1.00                
location35136 et al             6                   6.00                1.00                1.00                
location35185 et al             14                  14.00               1.00                1.00                
location3520 et al              0                   0                   n/a                 n/a                 
location3523 et al              5                   5.00                1.00                1.00                
